Name,HoF,WAR,WAR7,JAWS,Yrs,From,To,ASG,W,L,W-L%,ERA,ERA+,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
Ken Holtzman,0,27.6,24.5,26,15,1965,1979,2,174,150,0.537,3.49,105,451,410,18,127,31,3,2867.1,2787,1273,1111,249,910,70,1601,49,2,98,12069
Wilbur Wood,0,50.3,46,48.1,17,1961,1978,3,164,156,0.513,3.24,114,651,297,198,114,24,57,2684,2582,1130,965,209,724,71,1411,63,6,72,11154
Larry Dierker,0,32,28.4,30.2,14,1964,1977,2,139,123,0.531,3.31,103,356,329,10,106,25,1,2333.2,2130,948,857,184,711,43,1493,50,10,104,9661
Mike Cuellar,0,27.1,25.6,26.3,15,1959,1977,4,185,130,0.587,3.14,109,453,379,33,172,36,11,2808,2538,1130,979,222,822,61,1632,12,6,53,11505
Gary Nolan,0,26,25.1,25.6,10,1967,1977,1,110,70,0.611,3.08,117,250,247,1,45,14,0,1674.2,1505,623,573,146,413,46,1039,14,10,26,6836
Al Downing,0,21,19.7,20.4,17,1961,1977,1,123,107,0.535,3.22,106,405,317,37,73,24,3,2268.1,1946,938,811,177,933,32,1639,31,11,77,9539
Bill Singer,0,18.9,21.8,20.3,14,1964,1977,2,118,127,0.482,3.39,99,322,308,7,94,24,2,2174,1952,944,819,132,781,50,1515,63,11,67,9143
Bob Gibson,1,89.4,61.3,75.4,17,1959,1975,9,251,174,0.591,2.91,127,528,482,21,255,56,6,3884.1,3279,1420,1258,257,1336,118,3117,102,13,108,16068
Juan Marichal,1,63,51.9,57.5,16,1960,1975,10,243,142,0.631,2.89,123,471,457,11,244,52,2,3507,3153,1329,1126,320,709,82,2303,40,20,51,14236
Sam McDowell,0,41.9,41.3,41.6,15,1961,1975,6,141,134,0.513,3.17,112,425,346,39,103,23,14,2492.1,1948,999,879,164,1312,74,2453,59,7,140,10587
Claude Osteen,0,41.4,31.4,36.4,18,1957,1975,3,196,195,0.501,3.3,104,541,488,24,140,40,1,3460.2,3471,1435,1268,249,940,93,1612,45,6,67,14433
Jim Perry,0,41.8,30.4,36.1,17,1959,1975,3,215,174,0.553,3.45,106,630,447,64,109,32,10,3285.2,3127,1407,1258,308,998,93,1576,80,3,55,13732
Sonny Siebert,0,32.2,30.4,31.3,12,1964,1975,2,140,114,0.551,3.21,110,399,307,42,67,21,16,2152,1919,907,767,197,692,55,1512,54,8,60,8951
Bill Hands,0,27.4,26.3,26.8,11,1965,1975,0,111,110,0.502,3.35,114,374,260,69,72,17,14,1951,1895,834,727,167,492,55,1128,36,5,46,8116
Dave McNally,0,25.7,23.2,24.4,14,1962,1975,3,184,119,0.607,3.24,106,424,396,7,120,33,2,2730,2488,1070,982,230,826,56,1512,72,11,59,11229
Mel Stottlemyre,0,43.2,34.7,39,11,1964,1974,5,164,139,0.541,2.97,112,360,356,3,152,40,1,2661.1,2435,1003,878,171,809,75,1257,44,1,57,10972
