Name,HoF,WAR,WAR7,JAWS,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+
Bud Harrelson,0,20.3,18.2,19.3,16,1965,1980,2,1533,5516,4744,539,1120,136,45,7,267,127,60,633,653,0.236,0.327,0.288,0.616,76
Don Kessinger,0,9,11.3,10.1,16,1964,1979,6,2078,8530,7651,899,1931,254,80,14,527,100,85,684,759,0.252,0.314,0.312,0.626,73
Jim Fregosi,0,48.7,41,44.8,18,1961,1978,6,1902,7403,6523,844,1726,264,78,151,706,76,40,715,1097,0.265,0.338,0.398,0.736,113
Rico Petrocelli,0,39.2,33.2,36.2,13,1963,1976,2,1553,6171,5390,653,1352,237,22,210,773,10,22,661,926,0.251,0.332,0.42,0.752,108
Leo Cardenas,0,27.3,23.3,25.3,16,1960,1975,5,1941,7402,6707,662,1725,285,49,118,689,39,48,522,1135,0.257,0.311,0.367,0.679,88
Dal Maxvill,0,7.7,8.5,8.1,14,1962,1975,0,1423,3898,3443,302,748,79,24,6,252,7,11,370,538,0.217,0.293,0.259,0.552,57
Denis Menke,0,28.1,23.3,25.7,13,1962,1974,2,1598,5936,5071,605,1270,225,40,101,606,34,54,698,853,0.25,0.343,0.37,0.713,103
Larry Brown,0,6.8,8.7,7.8,12,1963,1974,0,1129,3872,3449,331,803,108,13,47,254,22,23,317,414,0.233,0.3,0.313,0.612,76
Sonny Jackson,0,1.7,4.8,3.2,12,1963,1974,0,936,3390,3055,396,767,81,28,7,162,126,51,250,265,0.251,0.308,0.303,0.611,73
Luis Aparicio,1,55.8,32.7,44.3,18,1956,1973,13,2599,11230,10230,1335,2677,394,92,83,791,506,136,736,742,0.262,0.311,0.343,0.653,82
Gene Alley,0,24.2,24.1,24.2,11,1963,1973,2,1195,4332,3927,442,999,140,44,55,342,63,30,300,622,0.254,0.31,0.354,0.665,88
Jose Pagan,0,5.7,8,6.9,15,1959,1973,0,1326,4032,3689,387,922,138,26,52,372,46,35,244,510,0.25,0.298,0.344,0.641,79
